[  15 / 132 ] flow_distance =   133.104075733524354 | volume_distance =    10.942628992680991 | sum_distance =   144.046704726205348 | exercise(cycle,model) = exerc_1 | exerc_1

[  16 / 132 ] flow_distance =    45.704788154855002 | volume_distance =     5.988069071904305 | sum_distance =    51.692857226759308 | exercise(cycle,model) = exerc_1 | exerc_4
[  16 / 132 ] flow_distance =    45.858160228087442 | volume_distance =     4.135051006220722 | sum_distance =    49.993211234308163 | exercise(cycle,model) = exerc_1 | exerc_6
[  16 / 132 ] flow_distance =   162.395953978368283 | volume_distance =    14.896176646157405 | sum_distance =   177.292130624525697 | exercise(cycle,model) = exerc_1 | exerc_3
[  16 / 132 ] flow_distance =    27.125738470519895 | volume_distance =    11.964622597120281 | sum_distance =    39.090361067640174 | exercise(cycle,model) = exerc_1 | exerc_7
[  16 / 132 ] flow_distance =    17.788518171433573 | volume_distance =    24.960500964696998 | sum_distance =    42.749019136130570 | exercise(cycle,model) = exerc_1 | exerc_2
[  16 / 132 ] flow_distance =    35.680038006950184 | volume_distance =     6.369676551362956 | sum_distance =    42.049714558313141 | exercise(cycle,model) = exerc_1 | exerc_5
[  16 / 132 ] flow_distance =    34.671936588701215 | volume_distance =    22.689796843553466 | sum_distance =    57.361733432254681 | exercise(cycle,model) = exerc_1 | exerc_1

[  17 / 132 ] flow_distance =    42.203039846027288 | volume_distance =     6.321295853219315 | sum_distance =    48.524335699246606 | exercise(cycle,model) = exerc_1 | exerc_4
[  17 / 132 ] flow_distance =    26.368288959552057 | volume_distance =     3.846683398688288 | sum_distance =    30.214972358240345 | exercise(cycle,model) = exerc_1 | exerc_6
[  17 / 132 ] flow_distance =   144.881737249479016 | volume_distance =    16.395147384051182 | sum_distance =   161.276884633530187 | exercise(cycle,model) = exerc_1 | exerc_3
[  17 / 132 ] flow_distance =    24.753707317352941 | volume_distance =    11.218284999519451 | sum_distance =    35.971992316872388 | exercise(cycle,model) = exerc_1 | exerc_7
[  17 / 132 ] flow_distance =    12.547672667044466 | volume_distance =    33.076581944603362 | sum_distance =    45.624254611647828 | exercise(cycle,model) = exerc_1 | exerc_2
[  17 / 132 ] flow_distance =    23.117100458095720 | volume_distance =     6.170744874651313 | sum_distance =    29.287845332747033 | exercise(cycle,model) = exerc_1 | exerc_5
[  17 / 132 ] flow_distance =    54.204429011247200 | volume_distance =    29.963912958849843 | sum_distance =    84.168341970097046 | exercise(cycle,model) = exerc_1 | exerc_1

[  18 / 132 ] flow_distance =    96.117569276994828 | volume_distance =   151.832520867469810 | sum_distance =   247.950090144464639 | exercise(cycle,model) = exerc_1 | exerc_4
[  18 / 132 ] flow_distance =    58.496704085963557 | volume_distance =   193.695967784531689 | sum_distance =   252.192671870495246 | exercise(cycle,model) = exerc_1 | exerc_6
[  18 / 132 ] flow_distance =   239.894317637349900 | volume_distance =   228.711873754106193 | sum_distance =   468.606191391456093 | exercise(cycle,model) = exerc_1 | exerc_3
[  18 / 132 ] flow_distance =   107.611849028716136 | volume_distance =   247.142792400592668 | sum_distance =   354.754641429308776 | exercise(cycle,model) = exerc_1 | exerc_7
[  18 / 132 ] flow_distance =   100.382058612393081 | volume_distance =   201.082105202256741 | sum_distance =   301.464163814649851 | exercise(cycle,model) = exerc_1 | exerc_2
[  18 / 132 ] flow_distance =    91.122932149630188 | volume_distance =   131.455678980952172 | sum_distance =   222.578611130582374 | exercise(cycle,model) = exerc_1 | exerc_5
[  18 / 132 ] flow_distance =   156.095820387827445 | volume_distance =   375.328267502685605 | sum_distance =   531.424087890513078 | exercise(cycle,model) = exerc_1 | exerc_1

[  19 / 132 ] flow_distance =    68.063994505455639 | volume_distance =     6.209336595308318 | sum_distance =    74.273331100763954 | exercise(cycle,model) = exerc_2 | exerc_4
[  19 / 132 ] flow_distance =    34.030789319066422 | volume_distance =     8.089682811808629 | sum_distance =    42.120472130875051 | exercise(cycle,model) = exerc_2 | exerc_6
[  19 / 132 ] flow_distance =   162.978195670511099 | volume_distance =     3.881519398792037 | sum_distance =   166.859715069303149 | exercise(cycle,model) = exerc_2 | exerc_3
[  19 / 132 ] flow_distance =   100.704138595728921 | volume_distance =    10.686248545633781 | sum_distance =   111.390387141362709 | exercise(cycle,model) = exerc_2 | exerc_7
