[  15 / 132 ] flow_distance =    54.039682304391889 | volume_distance =    10.009845246033219 | sum_distance =    64.049527550425111 | exercise(cycle,model) = exerc_1 | exerc_5
[  15 / 132 ] flow_distance =   129.748073341324414 | volume_distance =    10.866885759660615 | sum_distance =   140.614959100985033 | exercise(cycle,model) = exerc_1 | exerc_1

[  16 / 132 ] flow_distance =    76.343080218458283 | volume_distance =     4.762989874581888 | sum_distance =    81.106070093040174 | exercise(cycle,model) = exerc_1 | exerc_4
[  16 / 132 ] flow_distance =    34.304942706046731 | volume_distance =     7.576418013084309 | sum_distance =    41.881360719131038 | exercise(cycle,model) = exerc_1 | exerc_6
[  16 / 132 ] flow_distance =   155.458267562247386 | volume_distance =    14.315865603924493 | sum_distance =   169.774133166171879 | exercise(cycle,model) = exerc_1 | exerc_3
[  16 / 132 ] flow_distance =    27.812606856485857 | volume_distance =    11.377155702745664 | sum_distance =    39.189762559231525 | exercise(cycle,model) = exerc_1 | exerc_7
[  16 / 132 ] flow_distance =    20.414749886668499 | volume_distance =    10.011917229104045 | sum_distance =    30.426667115772545 | exercise(cycle,model) = exerc_1 | exerc_2
[  16 / 132 ] flow_distance =    32.349670158385599 | volume_distance =     5.613500114330888 | sum_distance =    37.963170272716489 | exercise(cycle,model) = exerc_1 | exerc_5
[  16 / 132 ] flow_distance =    50.070833075752148 | volume_distance =    22.441527322622459 | sum_distance =    72.512360398374611 | exercise(cycle,model) = exerc_1 | exerc_1

[  17 / 132 ] flow_distance =    73.643124155490526 | volume_distance =     4.741749400670870 | sum_distance =    78.384873556161395 | exercise(cycle,model) = exerc_1 | exerc_4
[  17 / 132 ] flow_distance =    25.500591100572709 | volume_distance =     7.237917871625061 | sum_distance =    32.738508972197771 | exercise(cycle,model) = exerc_1 | exerc_6
[  17 / 132 ] flow_distance =   136.399389130213223 | volume_distance =    16.395096602004333 | sum_distance =   152.794485732217566 | exercise(cycle,model) = exerc_1 | exerc_3
[  17 / 132 ] flow_distance =    25.019239121691445 | volume_distance =    11.118413136248673 | sum_distance =    36.137652257940118 | exercise(cycle,model) = exerc_1 | exerc_7
[  17 / 132 ] flow_distance =     7.094934721524309 | volume_distance =    11.450613534602276 | sum_distance =    18.545548256126587 | exercise(cycle,model) = exerc_1 | exerc_2
[  17 / 132 ] flow_distance =    23.853735012842979 | volume_distance =     6.100803325540366 | sum_distance =    29.954538338383344 | exercise(cycle,model) = exerc_1 | exerc_5
[  17 / 132 ] flow_distance =    58.021604091021167 | volume_distance =    29.901727895831232 | sum_distance =    87.923331986852403 | exercise(cycle,model) = exerc_1 | exerc_1

[  18 / 132 ] flow_distance =   135.101413219826810 | volume_distance =   166.305590738129837 | sum_distance =   301.407003957956647 | exercise(cycle,model) = exerc_1 | exerc_4
[  18 / 132 ] flow_distance =    53.351793050818159 | volume_distance =   120.901791679538988 | sum_distance =   174.253584730357147 | exercise(cycle,model) = exerc_1 | exerc_6
