[  13 / 132 ] flow_distance =   303.695718658643898 | volume_distance =    20.528600154840710 | sum_distance =   324.224318813484615 | exercise(cycle,model) = exerc_1 | exerc_3
[  13 / 132 ] flow_distance =    72.720135181877339 | volume_distance =    11.790964730938137 | sum_distance =    84.511099912815482 | exercise(cycle,model) = exerc_1 | exerc_7
[  13 / 132 ] flow_distance =    86.109721902947413 | volume_distance =    20.318086164463899 | sum_distance =   106.427808067411320 | exercise(cycle,model) = exerc_1 | exerc_2
[  13 / 132 ] flow_distance =    98.766653946150569 | volume_distance =    27.048385348492385 | sum_distance =   125.815039294642958 | exercise(cycle,model) = exerc_1 | exerc_5
[  13 / 132 ] flow_distance =   112.369442696963162 | volume_distance =    28.318004271049372 | sum_distance =   140.687446968012523 | exercise(cycle,model) = exerc_1 | exerc_1

[  14 / 132 ] flow_distance =   175.689513867097133 | volume_distance =     1.872115000946767 | sum_distance =   177.561628868043897 | exercise(cycle,model) = exerc_1 | exerc_4
[  14 / 132 ] flow_distance =    82.608552858096999 | volume_distance =     2.725340719064684 | sum_distance =    85.333893577161689 | exercise(cycle,model) = exerc_1 | exerc_6
[  14 / 132 ] flow_distance =   564.097608996265990 | volume_distance =     2.366046755883916 | sum_distance =   566.463655752149862 | exercise(cycle,model) = exerc_1 | exerc_3
[  14 / 132 ] flow_distance =    86.699602997827270 | volume_distance =     3.986711539046329 | sum_distance =    90.686314536873596 | exercise(cycle,model) = exerc_1 | exerc_7
[  14 / 132 ] flow_distance =    52.290927876406784 | volume_distance =     3.291704405364835 | sum_distance =    55.582632281771616 | exercise(cycle,model) = exerc_1 | exerc_2
[  14 / 132 ] flow_distance =    90.389072174417791 | volume_distance =     2.185357384406482 | sum_distance =    92.574429558824278 | exercise(cycle,model) = exerc_1 | exerc_5
[  14 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_1 | exerc_1

[  15 / 132 ] flow_distance =   269.858704492921731 | volume_distance =    10.103152959098963 | sum_distance =   279.961857452020695 | exercise(cycle,model) = exerc_1 | exerc_4
